time,tsi,dni,ghi,temp,atm,rh,power,cap
2019-01-01 00:00:00,0.0,0.0,0.0,-11.7,930.5,39.1,0.0,50.0
2019-01-01 00:15:00,0.0,0.0,0.0,-11.8,930.5,39.3,0.0,50.0
2019-01-01 00:30:00,0.0,0.0,0.0,-11.4,930.5,39.0,0.0,50.0
2019-01-01 00:45:00,0.0,0.0,0.0,-11.5,930.5,38.0,0.0,50.0
2019-01-01 01:00:00,0.0,0.0,0.0,-11.5,930.4,38.9,0.0,50.0
2019-01-01 01:15:00,0.0,0.0,0.0,-11.8,930.1,39.6,0.0,50.0
2019-01-01 01:30:00,0.0,0.0,0.0,-11.4,930.0,39.4,0.0,50.0
2019-01-01 01:45:00,0.0,0.0,0.0,-10.7,930.0,37.5,0.0,50.0
2019-01-01 02:00:00,0.0,1.0,0.0,-10.9,929.8,37.6,0.0,50.0
2019-01-01 02:15:00,0.0,0.0,0.0,-10.9,929.8,38.2,0.0,50.0
2019-01-01 02:30:00,0.0,1.0,0.0,-11.1,929.6,38.7,0.0,50.0
2019-01-01 02:45:00,0.0,0.0,0.0,-10.1,929.5,38.9,0.0,50.0
2019-01-01 03:00:00,0.0,1.0,0.0,-10.5,929.5,38.9,0.0,50.0
2019-01-01 03:15:00,0.0,0.0,0.0,-11.1,929.7,40.2,0.0,50.0
2019-01-01 03:30:00,0.0,1.0,0.0,-11.3,929.5,40.5,0.0,50.0
2019-01-01 03:45:00,0.0,0.0,0.0,-11.0,929.6,40.7,0.0,50.0
2019-01-01 04:00:00,0.0,1.0,0.0,-11.6,929.9,41.4,0.0,50.0
2019-01-01 04:15:00,0.0,0.0,0.0,-11.3,929.7,42.0,0.0,50.0
2019-01-01 04:30:00,0.0,1.0,0.0,-11.3,929.6,42.4,0.0,50.0
2019-01-01 04:45:00,0.0,0.0,0.0,-11.4,929.5,42.4,0.0,50.0
2019-01-01 05:00:00,0.0,1.0,0.0,-11.7,929.5,42.8,0.0,50.0
2019-01-01 05:15:00,0.0,0.0,0.0,-11.1,929.3,43.7,0.0,50.0
2019-01-01 05:30:00,0.0,0.0,0.0,-10.7,929.3,42.6,0.0,50.0
2019-01-01 05:45:00,0.0,1.0,0.0,-11.4,929.3,43.4,0.0,50.0
2019-01-01 06:00:00,0.0,0.0,0.0,-11.5,929.1,44.6,0.0,50.0
2019-01-01 06:15:00,0.0,1.0,0.0,-11.7,929.0,45.1,0.0,50.0
2019-01-01 06:30:00,0.0,0.0,0.0,-11.6,928.8,45.0,0.0,50.0
